,Id,Rating,Critic,Top_Critic
0,3,0.6,PJ Nabarro,False
1,3,0.0,Annalee Newitz,False
2,3,0.0,Sean Axmaker,False
3,3,0.0,Daniel Kasman,False
4,3,0.0,Unknown,False
5,3,0.0,Michelle Orange,False
6,3,0.0,Eric D. Snider,False
7,3,0.4,Matt Kelemen,False
8,3,0.0,Sean Axmaker,False
9,3,0.0,Kong Rithdee,False
10,3,0.0,Tim Grierson,False
11,3,2.7,Emanuel Levy,False
12,3,0.5,Christian Toto,False
13,3,3.0,Robert Roten,False
14,3,0.75,Marty Mapes,False
15,3,0.6,Adam Ross,False
16,3,0.8,Patrick Kolan,False
17,3,3.0,Dennis Schwartz,False
18,3,0.5,Sean P. Means,False
19,3,1.0,John Beifuss,False
20,3,0.6,Chris Sawin,False
21,3,0.25,Jason Buchanan,False
22,3,8.0,Philip Martin,False
23,3,0.4,Mike Scott,False
24,3,0.625,Joe Williams,True
25,3,0.4,Justin Craig,False
26,3,0.0,Roger Moore,False
27,3,0.625,Eric Melin,False
28,3,0.0,Fernando F. Croce,False
29,3,0.4,Tony Macklin,False
30,3,0.3,Susan Granger,False
31,3,0.7,Tim Brayton,False
32,3,0.0,Monica Castillo,False
33,3,0.6,Scott Renshaw,False
34,3,0.0,Vincent Mancini,False
35,3,3.7,Frank Swietek,False
36,3,0.8,Thomas Caldwell,False
37,3,0.0,Mark Sells,False
38,3,0.0,Kelly Vance,False
39,3,0.0,Diana Saenger,False
40,3,1.0,Peter Sobczynski,False
41,3,0.0,Unknown,False
42,3,0.0,Erick Weber,False
43,3,0.875,Phil Villarreal,False
44,3,0.6,Marc Savlov,False
45,3,1.0,Jeffrey M. Anderson,False
46,3,0.0,MaryAnn Johanson,False
47,3,0.5,Stephanie Merry,True
48,3,0.5,Mark Dujsik,False
49,3,0.0,Dustin Putman,False
50,3,0.5,Mick LaSalle,True
51,3,2.7,Shawn Levy,False
52,3,0.8,Hank Sartin,False
53,3,1.3,Brian Orndorf,False
54,3,0.375,Colin Covert,True
55,3,0.5,Moira MacDonald,True
56,3,0.7,Brian Tallerico,False
57,3,0.625,Gary Thompson,False
58,3,0.5,Mark Feeney,True
59,3,0.8,Ron Wilkinson,False
60,3,0.0,J. R. Jones,True
61,3,0.25,Chris Hewitt,False
62,3,0.75,Rene Rodriguez,True
63,3,0.75,Matt Pais,False
64,3,0.5,Roger Ebert,True
65,3,0.0,Sean Burns,False
66,3,3.0,Robin Clifford,False
67,3,3.3,Laura Clifford,False
68,3,1.0,Walter Chaw,False
69,3,0.875,Josh Larsen,False
70,3,0.6,Samir Mathur,False
71,3,0.0,Staci Layne,False
72,3,0.6,Jesse Hassenger,False
73,3,0.0,Paul Schrodt,False
74,3,3.7,Drew McWeeny,False
75,3,0.7,Katey Rich,False
76,3,0.0,Ethan Alter,False
77,3,0.0,David Denby,True
78,3,0.0,Bilge Ebiri,True
79,3,0.0,Caryn James,False
80,3,0.0,Donald J. Levit,False
81,3,0.25,Kyle Smith,True
82,3,0.375,Robert Levin,False
83,3,0.0,Dana Stevens,True
84,3,0.9,Witney Seibold,False
85,3,0.0,Amy Taubin,False
86,3,0.0,Alonso Duralde,True
87,3,0.5,Claudia Puig,True
88,3,0.5,Betsy Sharkey,True
89,3,0.0,Scott Tobias,True
90,3,0.4,Elizabeth Weitzman,True
91,3,0.0,John Anderson,True
92,3,0.7,Manohla Dargis,True
93,3,0.75,Peter Travers,True
94,3,0.0,Chris Barsanti,False
95,3,0.25,James Berardinelli,True
96,3,0.0,Keith Phipps,True
97,3,0.75,Alison Willmore,False
98,3,3.7,Jordan Hoffman,True
99,3,0.0,Karina Longworth,True
100,3,1.0,Glenn Kenny,True
101,3,0.7,Matt Singer,False
102,3,0.8,David Ehrlich,False
103,3,0.55,Edward Douglas,False
104,3,2.7,Mike D'Angelo,True
105,3,0.0,Marshall Fine,False
106,3,0.875,Budd Wilkins,False
107,3,1.7,Cole Smithey,False
108,3,0.8,Joshua Rothkopf,True
109,3,0.3,Cameron Williams,False
110,3,0.6,Stephen Romei,False
111,3,0.7,Paul Byrnes,False
112,3,0.2,Jim Schembri,False
113,3,0.7,CJ Johnson,False
114,3,0.8,Grant McAvaney,False
115,3,0.4,Matthew Pejkovic,False
116,3,0.0,Luke Buckmaster,False
117,3,0.8,Ed Gibbs,False
118,3,0.0,Andrew L. Urban,False
119,3,0.0,Charlie Lyne,False
120,3,0.0,Chris Laverty,False
121,3,0.4,Graham Young,False
122,3,0.6,Robert Keeling,False
123,3,0.8,Gail Tolley,False
124,3,0.8,Jonathan Romney,False
125,3,0.6,Charlotte O'Sullivan,False
126,3,0.6,Katherine Monk,False
127,3,0.3,Shaun Munro,False
128,3,3.0,Eric Kohn,True
129,3,0.6,Donald Clarke,False
130,3,0.0,Jason Best,False
131,3,0.4,Allan Hunter,False
132,3,0.4,Alex Zane,False
133,3,0.875,Chris Alexander,False
134,3,0.0,Ryan Lattanzio,False
135,3,0.2,Nigel Andrews,False
136,3,0.6,Tim Robey,False
137,3,0.8,Ian Nathan,False
138,3,0.6,Rich Cline,False
139,3,0.6,Matthew Turner,False
140,3,0.7,Unknown,False
141,3,0.0,Francesca Steele,False
142,3,0.6,Rob James,False
143,3,0.6,Norman Wilner,False
144,3,0.25,David Nusair,False
145,3,0.7,Bruce Kirkland,False
146,3,1.0,Catherine Bray,False
147,3,0.0,Jon Frosch,False
148,3,0.5,Chris Bumbray,False
149,3,0.3,Kimberly Gadette,False
150,3,0.8,Robbie Collin,False
151,3,1.7,Simon Gallagher,False
152,3,0.0,Richard Corliss,True
153,3,0.0,Peter Howell,True
154,3,0.0,Damon Wise,False
155,3,0.0,Guy Lodge,False
156,3,0.0,Lee Marshall,False
157,3,0.0,Todd McCarthy,True
158,3,0.0,David Jenkins,False
159,3,0.6,Dave Calhoun,True
160,3,0.0,Owen Gleiberman,True
161,3,0.4,Peter Bradshaw,False
162,3,3.0,Emanuel Levy,False
163,5,0.0,David Ansen,True
164,5,0.8,Brian Costello,False
165,5,2.3,Emanuel Levy,False
166,5,0.875,Michael Dequina,False
